tag_id,tag_name_kor,tag_name_eng,tag_description
0,몸짓,Acting,연기 메커니즘을 채용한 게임에서 플레이어들은 다른 플레이어와 소통하기 위해 마임을 하거나 흉내를 내야합니다.
1,행동 드래프트,Action Drafting,"플레이어들은 공유된 풀 안에 있는 행동 모음 중에서 행동을 선택합니다. 사용 가능한 행동 수는 제한되어 있습니다. 어떤 플레이어가 한 행동을 선택했다면, 그 행동은 다시 선택될 수 없습니다."
2,행동 포인트,Action Points,각 플레이어들은 각자의 차례에 정해진 수의 행동 포인트를 받습니다. 플레이어들은 받은 포인트를 다양한 행동에 사용할 수 있습니다.보드게임 긱에 등재된 게임 중 행동 포인트 시스템을 사용하는 가장 오래된 게임은 Special Train(1948)입니다.
3,행동 대기열,Action Queue,"플레이어들은 행동 순서대로 열을 만들고 그 순서대로 행동을 수행합니다. 대기열은 모든 작업이 순서대로 시행되는 ""집단"" 대기열이거나, 열 끝에 새로운 작업이 주가될 때 첫 번째 행동이 시행되는 ""회전"" 대기열일 수 있습니다. 플레이어들은 각자가 행동 대기열을 가지고 있을 수도 있고, 플레이어 전체가 한 대기열을 공유할 수도 있습니다."
4,추상 전략,Abstract Strategy,추상 전략 게임은 보통 아래와 같은 요소를 포함합니다(항상 그런 것은 아닙니다):- 테마 연관성이 없습니다(스토리가 없습니다)- 간단하고 직관적인 디자인과 메커니즘에 기반합니다.- 게임에 대한 모든 정보는 공개되어 있습니다.- 상대를 이겨 승리를 얻는 게임입니다- 운이나 무작위적 요소가 매우 적거나 거의 없습니다.
5,액션 / 손재주,Action / Dexterity,액션 / 손재주 게임은 전체적인 승리 결정을 위해 플레이어들의 신체 반사신경과 협응력을 겨루게 합니다.
6,모험,Adventure,"모험 게임은 보통 영웅담, 탐험, 퍼즐 풀이 등의 테마를 가지고 있습니다. 이러한 게임들의 스토리에는 보통 환상문학적 요소들이 반영되고, 그러한 등장인물들이 어떤 종류의 모험에 등장하기도 합니다."
7,이성의 시대,Age of Reason,"이성의 시대 게임은 17세기에서 18세기 후반까지의 역사적 상황을 다루는 역사 게임이자전쟁 게임입니다.이성의 시대는 1690년경에 총검이 발명되어 채택되면서 시작되었으며, 1789년 프랑스 혁명과 이어지는 나폴레옹 전쟁으로 끝나게 됩니다."
8,미국 남북 전쟁,American Civil War,남북전쟁 게임은 1861년부터 1865년까지 있었던 미국 남부 주의 분리 독립 전쟁 기간에 있었던 일에 기반한 줄거리를 가지고 있습니다.대부분의 남북 전쟁 게임들은전쟁 게임으로 분류되어 있습니다.
9,미국 인디언 전쟁,American Indian Wars,"미국 인디언 전쟁 게임은 일반적으로 17세기에서 18세기에 있었던 유럽인 권력자, 이주민들과 아메리카 대륙 토착민 사이에 있었던 전투들을 테마로 삼은 게임을 의미합니다. 보통은 18세기에서 19세기에 있었던 미국 연방정부와 토착민들과의 전투 역시 포함합니다."
