game_id,game_title_eng,game_title_kor,game_time,game_min_player,game_max_player
0,7 Wonders Duel,세븐원더스 : 듀얼,60,2,2
1,Beware of the Dog,개조심,5,2,5
2,Ghosts,고스트,10,2,2
3,No thanks,노땡스,20,3,7
4,DaVinci Code,다빈치코드,20,2,4
5,Dr. Eureka,닥터유레카,15,2,4
6,The Great Dalmuti,달무티,20,5,8
7,The game card game,더게임,20,2,5
8,Dead of Winter: A Crossroads Game,데드오브윈터,100,2,5
9,Dobble,도블,10,2,5
10,Donkey Derby,동키더비,25,3,5
11,Drecksau,드렉사우,10,2,4
12,Dixit,딕싯,20,4,6
13,Dixit: Memories,딕싯 : 메모리즈,20,4,6
14,Dixit: Revelations,딕싯 : 예지,20,4,6
15,Dixit: Quest,딕싯 : 퀘스트,20,4,6
16,La Boca,라보카,40,4,4
17,Nori Labirint,라비린스,20,2,4
18,Las Vegas,라스베가스,35,3,7
19,Raon,라온,10,2,4
20,Rush Hour Shift,러시아워쉬프트,15,2,2
21,Sequence,시퀀스,10,4,12
22,The Resitance : Avalon,레지스탕스 아발론,40,6,10
23,The Resistance: Coup,레지스탕스:쿠,15,3,6
24,Lexio,렉시오,30,3,5
25,Lobo 77,로보77,30,2,6
26,Citadels,시타델,60,4,7
27,Rummikub,루미큐브,30,2,6
28,Loopin' Louie,루핑루이,10,2,4
29,At the Gates of Loyang,뤄양의사람들,120,2,4
30,Manila,마닐라,60,3,5
31,Marakesz,마라케시,30,2,4
32,The Magic Labyrinth,마법의미로,20,2,4
33,MAHE,마헤,30,4,7
34,Manhattan,맨해튼,45,4,4
35,Mogel Motte,나방속이기 (장난꾸러기 나방),20,4,5
36,Monopoly,모노폴리,180,2,8
37,Modern Art,모던아트,45,4,5
38,Die portale von Molthar,몰타의관문,45,2,5
39,Minivilles,미니빌,30,2,4
40,Minivilles green valley,미니빌:그린밸리,30,2,4
41,minivilles harbor,미니빌:항구,30,2,4
42,Mr. Jack,미스터잭,40,2,2
43,Mr. Jack Pocket,미스터잭 포켓,30,2,2
44,Bounce Off,바운스오프,10,2,4
45,Kakerlakensalat,바퀴벌레 샐러드,15,3,6
46,Kakerlaken Poker,바퀴벌레포커,15,3,6
47,Battle Sheep,배틀쉽,15,2,4
48,BANG!,뱅,35,4,8
49,Telestrations,텔레스트레이션,30,4,8
50,Bang The Dice Game,뱅:다이스,15,5,6
51,Bang! Dodge City,뱅:닷지시티,40,3,8
52,Welcome Back to the Dungeon,웰컴백 투더 던전,20,3,4
53,Bonanza,보난자,50,4,7
54,Blue Marble,부루마불,60,2,4
55,Blokers,블로커스,15,2,4
56,Blitz,블리츠,20,3,6
57,Saboteur,사보타지,30,5,8
58,Present,선물입니다,15,2,6
59,Hands Up,핸즈업,20,3,8
60,SET,세트,30,2,4
61,Sherlock 13,셜록13,15,2,4
62,Pie Face,손바닥룰렛,20,2,4
63,Schotten Totten,쇼텐토텐,20,2,2
64,Concerto Grosso,숲속의음악대,15,4,7
65,Super Rhino,슈퍼라이노,10,2,5
66,The Smurfs: Snakes & Ladders,스머프 사다리게임,20,2,4
67,Staxis,스택시스,10,2,7
68,Stratego,스트라테고,45,2,2
69,Streams,스트림스,10,2,99
70,Sticky Sticks,스티키스틱스,10,2,4
71,Spyfall,스파이폴,30,4,8
