game_id,game_title_eng,game_title_kor,game_time,game_min_player,game_max_player,game_detail,game_evaluation
0,7 Wonders Duel,세븐원더스 : 듀얼,60,2,2,"세븐원더스 : 듀얼은 2명만을 위한 전략 보드게임입니다. 플레이어는 고대 세계 7가지 경이로운 건조물 중 하나를 건설하려는 사람들로서, 자원을 수집하고 건설을 진행합니다. 게임은 3개 에이지를 거쳐 진행되며, 각 에이지마다 카드를 draft하여 사용합니다. 플레이어는 군사적 우위, 과학적 발전, 건물의 완성 등을 통해 하는 여러가지 방법으로 승리할 수 있습니다. 각 플레이어의 전략에 따라 끝까지 승패는 변할 수 있어, 전략적인 생각과 계획이 중요한 게임입니다.","사용자들의 평가를 바탕으로 봤을 때, '세븐원더스 : 듀얼'은 전략적인 선택과 긴장감 넘치는 경쟁이 동시에 진행되는 게임으로 호평 받고 있습니다. 카드선택과 건물건설 등 깊은 전략적 요소가 포함되어 있어 보드게임을 즐기는 사용자들 사이에서 큰 인기를 끌고 있습니다. 또한, 게임 매칭 시간이 비교적 짧아 다수의 매치를 진행하기에 적합하다는 평가도 있습니다. 특히 2인용 게임으로서의 완성도가 높아, 친구나 가족과 즐기기 좋은 게임으로 추천되고 있습니다."
1,Beware of the Dog,개조심,5,2,5,"""개조심""은 경계심을 가지고 완전히 잠든 강아지를 피해, 그의 곁에서 뼈를 훔치는 게임입니다. 플레이어들은 차례로 주사위를 굴려, 그 강아지 바구니 주변에서 뼈를 훔치기 위한 도구를 사용합니다. 하지만 강아지가 갑자기 깹니다. 강아지가 깨어나면 마지막으로 뼈를 훔친 플레이어는 론닝턴의 폭풍에 휩쓸려 갑니다. 이 프로세스는 하나의 뼈를 훔치고 살아 남는 마지막 플레이어가 이길 때까지 반복됩니다. 게임은 간단하면서도 높은 긴장감을 주는 매커니즘이 특징입니다.","""개조심"" 보드게임에 대한 사용자들의 평가를 살펴보았는데요, 많은 이들이 이 게임을 통해 즐거운 순간을 보내었다고 말합니다. 특히 이 게임은 흥미롭고 공포감을 불러일으키는 동시에 웃음을 선사하기 때문에 다양한 연령대에서 즐길 수 있다는 장점이 강조되었습니다. 하지만 일부 사용자들은 게임 진행 시 일부 규칙이 복잡하다는 반응을 보였습니다. 반면에 다른 게임보다 신선하고 흥미로운 경험을 제공한다는 데에는 대부분 사용자들이 동의하였습니다."
2,Ghosts,고스트,10,2,2,"고스트는 상당히 유니크한 전략 보드게임으로 양 팀이 고스트 피스들을 조종하여 상대방의 진영으로 침투하는 게임입니다. 각 피스들은 '악한 고스트'와 '착한 고스트'로 구분되어 있으며, 어떤 고스트가 악한지, 착한지는 상대방에겐 미지수입니다. 착한 고스트를 전부 상대방 진영으로 전송하거나, 상대방의 모든 악한 고스트를 찾아내면 승리하게 됩니다. 이 게임은 블러프와 추론력, 전略이 중요하며, 간단한 규칙에도 불구하고 깊이 있는 전략이 요구되는 재미있는 게임입니다.","고스트는 다양한 의견을 갖고 있는 사용자들로부터 평가를 받았습니다. 일부 사용자들은 고스트의 숨겨진 전략과 미스터리가 깊이 있는 게임 플레이를 제공한다고 칭찬하였습니다. 그러나 일부 사용자들은 게임의 흐름이 다소 느리며, 룰의 이해가 상대적으로 어렵다는 단점을 들었습니다. 또한, 고스트의 재미요소는 플레이어의 취향과 경험에 크게 좌우된다는 의견도 있었습니다. 이런 다양한 피드백을 종합하면, 고스트는 전략적인 사고를 요구하는 독특한 참신성이 있는 보드게임이지만 적응이 필요하다는 평가를 받았습니다."
3,No thanks,노땡스,20,3,7,"노땡스는 3-5명의 플레이어를 위한 간단한 전략 보드게임입니다. 각 플레이어는 숫자 카드를 거부하거나 받아들이는 선택을 해야 합니다. 플레이어는 순서대로 차례를 진행하며, 카드를 받아들이거나 통화 칩을 사용하여 거부할 수 있습니다. 목표는 끝날 때까지 카드의 총합을 최소화하는 것입니다. 득점은 카드의 합에서 통화 칩의 갯수를 뺀 수치로 결정되니, 언제 카드를 받아들일지 잘 결정하려면 노땡스 게임의 전략에 대한 이해가 필요합니다.","노땡스 게임은 사용자들로부터 매우 긍정적인 반응을 이끌어냈습니다. 간단하면서도 전략적인 요소가 깔끔하게 조화되어 있어 다양한 연령대의 게임팬들이 즐길 수 있다는 평가가 주를 이룹니다. 또한, 규칙이 단순해서 쉽게 배울 수 있고, 짧은 시간 동안 여러번 즐길 수 있어 소셜 모임이나 가족 모임에서 인기가 높다고 합니다. 하지만 어떤 사용자들은 조금 더 복잡한 전략적인 요소를 갖춘 게임을 선호하여 노땡스를 단순하게 느낀다는 평가도 있습니다. 전반적으로 노땡스는 경쟁력의 적절한 믹스와 쉬운 접근성을 지닌 보드게임으로 잘 알려져 있습니다."
4,DaVinci Code,다빈치코드,20,2,4,다빈치코드는 베일에 숨겨진 숫자나 색을 찾아내는 보드게임입니다. 각 플레이어는 회색이나 검은색 숫자 패를 받고 상대방이 볼 수 없게 자신 앞에 놓습니다. 플레이어들은 각자 차례가 돌아올 때 상대방의 패를 추측합니다. 틀릴 경우 패를 받지 않고 맞출 경우 새로운 패를 추가로 받습니다. 상대방의 모든 패를 찾아내는 사람이 승리합니다. 전략적 사고와 수리적 논리를 요구하는 게임입니다.,"다빈치코드 게임에 대한 사용자들의 평가를 종합하였습니다. 대다수 사용자들은 규칙이 간단하면서도 두뇌를 적극적으로 활용해야 하는 게임이라고 칭찬하였습니다. 또한, 2인 뿐 아니라 여러 명이서 천천히 즐길 수 있다는 점을 긍정적으로 평가하였습니다. 그러나, 일부 사용자들은 게임의 운 성분이 다소 크게 작용하는 것으로 느껴져 그 점을 아쉬워하였습니다. 전반적으로 다빈치코드는 가족이나 친구들과의 소중한 시간을 즐겁게 보낼 수 있는 보드게임으로 평가받았습니다."
5,Dr. Eureka,닥터유레카,15,2,4,"닥터유레카는 친구들과 함께 논리력과 손재주를 키울 수 있는 보드게임입니다. 각 플레이어는 실험용 튜브와 색상별 공을 받아서, 카드에 표시된 패턴대로 공을 옮기는 미션을 수행해야 합니다. 주의할 점은 공을 직접 손으로 만지거나 튜브를 기울여 떨어뜨리면 실패로 간주됩니다. 오직 뒤집어서만 공을 옮길 수 있습니다. 누가 먼저 카드의 패턴대로 공을 튜브에 맞게 넣으면 그 플레이어가 이기게 됩니다. 생각을 요구하는 전략적인 측면과 속도 경쟁이 결합된 재미있는 게임입니다.","""닥터유레카"" 보드게임은 많은 사용자들로부터 높은 평가를 받았습니다. 사용자들은 이 게임이 적절한 난이도로 아이들의 과학적 사고력과 순발력을 길러주는 데 탁월하다고 강조하였습니다. 또한, 귀여운 구성 요소와 아이들이 쉽게 이해할 수 있는 규칙이 돋보인다는 의견을 내었습니다. 그러나 일부 사용자들은 장기간 플레이시에는 다소 반복적일 수 있다는 지적도 있었습니다. 여튼 이 게임은 가족이나 친구들과 함께 즐기기 좋은 게임으로 추천을 받았습니다."
6,The Great Dalmuti,달무티,20,5,8,"달무티는 플레이어들이 사회적 계급을 높이기 위해 카드를 빠르게 소진하는 게임이다. 각 플레이어는 카드를 여러개 내거나 한 장씩 내는 방식으로 합법적인 조합을 만들어냅니다. 전체 카드가 소진되는 것에서 한 게임이 종결되고, 더 낮은 숫자의 카드를 먼저 내면 더 높은 순위를 가져갑니다. 높은 순위는 다음 라운드에서 더 유리한 입장을 가질 수 있습니다. 달무티는 계급 전환의 빠르고 재미있는 게임입니다.","다수의 사용자들은 달무티를 즐기며 가족이나 친구들과 함께 함께 많은 재미와 웃음을 경험하였습니다. 게임 방식이 쉽고 간단하여 어려운 규칙 없이 누구나 즐길 수 있다는 점이 매력적이라는 의견이 많았습니다. 또한, 카드 디자인의 독특함과 카드를 사용한 전략적인 요소가 게임을 더욱 빠져들게 한다는 평가도 있었습니다. 그러나 일부 사용자들은 운이 크게 작용하는 점이 아쉬웠다는 의견을 제시하였습니다."
7,The game card game,더게임,20,2,5,"더게임은 전략적인 협력 카드게임입니다. 이 게임에는 1부터 100까지의 숫자가 차례로 적힌 카드가 포함되어 있습니다. 게임의 목적은 플레이어들이 서로 협력하여 4개의 카드 더미에 모든 카드를 올바른 순서로 놓는 것입니다. 두 더미는 오름차순, 다른 두 더미는 내림차순으로 카드를 놓아야 합니다. 자신의 차례에 플레이어는 손에 있는 카드 중 하나 이상을 더미 중 하나에 놓아야하며 플레이어들은 특정한 카드를 놓을 진행 상황에 대해 토론 할 수 있지만, 정확한 숫자를 알리는 것은 금지되어 있습니다. 이 게임은 모든 카드가 올바르게 배치되면 승리하게 됩니다.","사용자들의 평가에 따르면, 더게임은 매우 재미있는 카드 게임으로 다양한 연령층이 즐길 수 있습니다. 공동으로 전략을 세워야 하는 협력 게임이라는 점이 사용자들에게 호평을 받았습니다. 게임 규칙이 간단하며, 쉽고 빠르게 배울 수 있다는 이점이 있습니다. 비록 일부 사용자들은 게임이 진행됨에 따라 약간 단조롭다는 단점을 지적하였으나 전체적으로는 비판보다는 칭찬이 많았습니다. 대체적으로 더게임은 흥미로운 팀 플레이와 전략적 사고를 요구하는 창의적인 게임으로 평가 받고 있습니다."
8,Dead of Winter: A Crossroads Game,데드오브윈터,100,2,5,"데드오브윈터는 죽음의 겨울의 죄송 카드 게임입니다. 이 게임은 생존자들이 좀비에 맞서며 공동체를 이끌어야 하는 포스트 아포칼립스 세계를 배경으로 합니다. 각 플레이어는 개인적인 목표를 가지고 있으며, 이 목표를 달성하면서 동시에 생존자들의 공동체를 유지하는 것이 중요합니다. 게임은 턴제로 진행되며, 플레이어는 자원을 수집하고, 좀비와 싸우며, 공동체 내의 문제를 해결해야 합니다. 여러 경로로 게임을 승리할 수 있지만, 다른 플레이어의 목표를 방해하거나 배신할 수 있는 요소도 있어 협력과 배신 간의 긴장감을 더합니다.","데드오브윈터 게임에 대한 사용자들의 평가를 종합하면, 이 게임은 플레이어들에게 독특하고 깊이 있는 전략적 결정을 요구하는, 매우 독창적인 협력보드게임이며, 높은 재생성을 가지고 있다는 점에서 많은 찬사를 받았습니다. 플레이어들은 게임의 흥미롭고 어두운 재난 생존 분위기, 강한 스토리텔링 요소, 그리고 개인 퀘스트와 그룹 목표 간의 균형을 유지해야 하는 독특한 메커니즘이 매우 만족스럽다는 의견을 보였습니다. 다만, 일부 사용자들은 초기 설정이 복잡하고 게임 시간이 다소 길다는 단점을 지적하기도 했습니다."
9,Dobble,도블,10,2,5,"도블은 시각적인 인지 능력과 반응 속도를 겨루는 빠른 템포의 보드게임입니다. 각 카드에는 8개의 다양한 그림이 그려져 있는데, 어떤 두 카드를 선택해도 정확히 한 개의 일치하는 그림을 찾을 수 있습니다. 플레이어들은 도블 카드를 받아, 가장 빠르게 일치하는 그림을 찾아 외치고 카드를 빼앗거나, 원하는 스택에 카드를 놓습니다. 가장 많은 카드를 수집한 플레이어가 이기는 게임 도블입니다.","도블은 그 간결한 규칙과 빠른 플레이 타임으로 많은 사용자들의 호평을 받고 있습니다. 유저들은 도블의 여러 가지 게임 모드가 재미를 배가시키며, 손맛이나 눈썰미를 겨루는 등 다양한 즐긴 방식이 가능하다고 입을 모아 말하고 있습니다. 참여자 모두가 집중하고 적극적으로 참여할 수 있어 파티 게임으로서의 완성도가 높다는 평도 주어지고 있습니다. 다만, 카드의 미세한 왜곡이나 인쇄 오류 측면에서 소소한 아쉬움을 표한 사람도 있습니다. 아이들의 집중력 향상에도 도움이 된다는 평가도 받고 있습니다."
